TIME;GEO;SEX;AGE;AGE_LABEL;ISCED11;UNIT;Value;Flag and Footnotes
2020;Denmark;Males;Y15-24;From 15 to 24 years;Less than primary, primary and lower secondary education (levels 0-2);Thousand;217.4;
2020;Denmark;Males;Y15-24;From 15 to 24 years;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);Thousand;128.6;
2020;Denmark;Males;Y15-24;From 15 to 24 years;Tertiary education (levels 5-8);Thousand;14.3;
2020;Denmark;Males;Y25-49;From 25 to 49 years;Less than primary, primary and lower secondary education (levels 0-2);Thousand;171.2;
2020;Denmark;Males;Y25-49;From 25 to 49 years;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);Thousand;384.5;
2020;Denmark;Males;Y25-49;From 25 to 49 years;Tertiary education (levels 5-8);Thousand;364.5;
2020;Denmark;Males;Y50-74;From 50 to 74 years;Less than primary, primary and lower secondary education (levels 0-2);Thousand;213.9;
2020;Denmark;Males;Y50-74;From 50 to 74 years;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);Thousand;423.6;
2020;Denmark;Males;Y50-74;From 50 to 74 years;Tertiary education (levels 5-8);Thousand;246.2;
2020;Denmark;Females;Y15-24;From 15 to 24 years;Less than primary, primary and lower secondary education (levels 0-2);Thousand;185.1;
2020;Denmark;Females;Y15-24;From 15 to 24 years;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);Thousand;140.1;
2020;Denmark;Females;Y15-24;From 15 to 24 years;Tertiary education (levels 5-8);Thousand;21.1;
2020;Denmark;Females;Y25-49;From 25 to 49 years;Less than primary, primary and lower secondary education (levels 0-2);Thousand;128.1;
2020;Denmark;Females;Y25-49;From 25 to 49 years;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);Thousand;300.7;
2020;Denmark;Females;Y25-49;From 25 to 49 years;Tertiary education (levels 5-8);Thousand;470.1;
2020;Denmark;Females;Y50-74;From 50 to 74 years;Less than primary, primary and lower secondary education (levels 0-2);Thousand;227.6;
2020;Denmark;Females;Y50-74;From 50 to 74 years;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);Thousand;377.6;
2020;Denmark;Females;Y50-74;From 50 to 74 years;Tertiary education (levels 5-8);Thousand;298.0;
